Kürzel Verkehrs-situation	ID Verkehrs-situation	Steigung [%]	Strassentyp [#]	v_mittel PKW [km/h]	v_mittel LNF [km/h]	v_mittel Solo LKW [km/h]	v_mittel Last- und Sattelzug [km/h]	v_mittel Reisebus [km/h]	v_mittel Linienbus [km/h]	v_mittel Motorrad (2T) [km/h]	v_mittel Motorrad (4T) [km/h]	v_mittel Kleinkraftrad [km/h]
AB_Baust2	3.12	-2	3	74.91	74.91	71.35	71.35	71.56	71.56	74.40	74.40	50.00
AB_Baust2	3.12	0	3	74.91	74.91	71.34	71.34	71.55	71.55	74.40	74.40	50.00
AB_Baust2	3.12	2	3	74.91	74.91	70.92	70.92	71.49	71.49	74.40	74.40	50.00
AB_Baust2	3.12	4	3	74.10	74.10	56.75	56.75	54.88	54.88	74.40	74.40	50.00
AB_Baust2	3.12	6	3	74.10	74.10	49.57	49.57	50.86	50.86	74.40	74.40	50.00
AB_Baust2	3.12	10	3	74.10	74.10	49.57	49.57	50.86	50.86	74.40	74.40	50.00
AB_Stop+Go	3.13	-10	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
AB_Stop+Go	3.13	-6	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
AB_Stop+Go	3.13	-4	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
AB_Stop+Go	3.13	-2	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
AB_Stop+Go	3.13	0	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
AB_Stop+Go	3.13	2	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
AB_Stop+Go	3.13	4	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
AB_Stop+Go	3.13	6	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
AB_Stop+Go	3.13	10	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
Dummy	3.14	-10	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
Dummy	3.14	-6	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
Dummy	3.14	-4	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
Dummy	3.14	-2	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
Dummy	3.14	0	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
Dummy	3.14	2	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
Dummy	3.14	4	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
Dummy	3.14	6	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
Dummy	3.14	10	3	9.50	9.50	6.34	6.34	6.34	6.34	19.00	19.00	19.00
