v_drive [km/h]	stg	PKW	LNF	LKW	LSZ	RB	SB	MR-2T	MR-4T	KKR	Free
15	4	-0.037053994	-0.03788558	-0.049658322	-0.040858688	-0.044388247	-0.042120791	-0.040604029	-0.041641282	-0.025265024	0
15	6	-0.025785558	-0.02653608	-0.035228342	-0.024268126	-0.028378197	-0.026162202	-0.029353833	-0.03017079	-0.017182278	0
15	10	-0.013134832	-0.012338467	-0.016228752	-0.006125587	-0.011517183	-0.00328867	-0.014365357	-0.014677585	-0.00928839	0
15	15	-0.005433227	-0.004330863	-0.005402169	-0.000250488	-0.002296288	-0.000971598	-0.00253274	-0.002531467	-0.002730528	0
15	20	-0.00220661	-0.001635131	-0.001181508	-2.18668E-05	-0.000193552	0	-0.000652094	-0.00065485	0	0
20	-20	-1.012276244	-1.057560581	-1.139889562	-1.253934383	-1.161192612	-1.114595979	-0.812925355	-0.823894771	-0.691723218	0
20	-15	-0.695725176	-0.734342118	-0.808012643	-0.905750134	-0.824074999	-0.795338228	-0.538884864	-0.547016112	-0.419103031	0
20	-10	-0.414979592	-0.439949455	-0.499912914	-0.576959529	-0.511793627	-0.501537324	-0.31696465	-0.322454517	-0.238616593	0
20	-6	-0.237648862	-0.251412206	-0.288922763	-0.34302938	-0.297520984	-0.297143755	-0.188710327	-0.191999601	-0.140814571	0
20	-4	-0.170257348	-0.178963538	-0.202884127	-0.244406103	-0.209323908	-0.211711244	-0.144043169	-0.146428004	-0.107516173	0
20	-2	-0.122762548	-0.127623894	-0.13763427	-0.16112372	-0.139453944	-0.142160192	-0.111915255	-0.113760523	-0.082021103	0
20	0	-0.086817244	-0.090744139	-0.095303374	-0.105059177	-0.093586245	-0.09710159	-0.087480078	-0.088987347	-0.063050397	0
20	2	-0.06252166	-0.064997276	-0.065364811	-0.065929984	-0.062588206	-0.065255964	-0.068203737	-0.069522315	-0.048895485	0
20	4	-0.045680205	-0.046959663	-0.045709343	-0.037566105	-0.041970541	-0.04237458	-0.051767018	-0.052742967	-0.036251957	0
20	6	-0.033545196	-0.034312115	-0.031941505	-0.021123712	-0.024201792	-0.023950302	-0.038936228	-0.039708091	-0.025054899	0
20	10	-0.018463435	-0.017770834	-0.012219814	-0.004462011	-0.008910526	-0.004284088	-0.021051968	-0.021449927	-0.010460174	0
20	15	-0.00840294	-0.007444608	-0.004034848	0	-0.00162042	-0.000213593	-0.003415218	-0.003406922	-0.002513439	0
20	20	-0.003675013	-0.002977048	-0.000964521	0	-4.61274E-05	0	-0.000715955	-0.000719489	0	0
25	-20	-1.132692461	-1.175620537	-1.274139846	-1.385811881	-1.299936727	-1.22905428	-0.814048542	-0.823176566	-0.678936795	0
25	-15	-0.786394098	-0.823337817	-0.905310051	-1.005082909	-0.926954862	-0.881905127	-0.535618761	-0.541508799	-0.407365113	0
25	-10	-0.471177987	-0.497193556	-0.556687685	-0.641210307	-0.575233771	-0.558905411	-0.32017351	-0.32380728	-0.241761533	0
25	-6	-0.267781119	-0.282544416	-0.313059954	-0.377944429	-0.327661978	-0.331757613	-0.195983507	-0.198036193	-0.14594126	0
25	-4	-0.190663627	-0.200365099	-0.21244667	-0.266096351	-0.224751258	-0.233916488	-0.152514002	-0.154081656	-0.115203579	0
25	-2	-0.138100262	-0.143584861	-0.138518783	-0.171011086	-0.144060057	-0.156515603	-0.121181077	-0.122428154	-0.093275368	0
25	0	-0.098961566	-0.103538381	-0.092276239	-0.109229278	-0.093872397	-0.107015732	-0.097780075	-0.098835901	-0.076268221	0
25	2	-0.072389657	-0.075753846	-0.060814139	-0.063027644	-0.060502552	-0.069308168	-0.08044997	-0.081473063	-0.063573863	0
25	4	-0.054306415	-0.056033746	-0.040748774	-0.030378497	-0.038972537	-0.040197245	-0.061402643	-0.062064592	-0.048311263	0
25	6	-0.041304833	-0.04208815	-0.028205338	-0.015185808	-0.01582477	-0.020865489	-0.048397255	-0.048935776	-0.034497254	0
25	10	-0.023792038	-0.023203202	-0.005233477	-0.002451609	-0.005101503	-0.000692523	-0.029608005	-0.030151841	-0.01024368	0
25	15	-0.011372653	-0.010558352	-0.002041599	0	-0.000521123	0	-0.006152662	-0.006148971	-0.002070986	0
25	20	-0.005143416	-0.004318965	-0.000151229	0	0	0	-0.000550023	-0.000551298	0	0
30	-20	-1.269059446	-1.30528256	-1.400394487	-1.513061441	-1.431384557	-1.345109098	-0.823162108	-0.840910708	-0.720208063	0
30	-15	-0.884919288	-0.917422551	-0.995254371	-1.100115337	-1.023347342	-0.966596619	-0.532352658	-0.542564301	-0.433811212	0
30	-10	-0.529134118	-0.553911759	-0.607252966	-0.700599254	-0.632471578	-0.610203326	-0.323811473	-0.329754564	-0.255886442	0
30	-6	-0.29473044	-0.310122097	-0.330409556	-0.407006867	-0.351518078	-0.358046328	-0.204160749	-0.207424395	-0.159801139	0
30	-4	-0.206421148	-0.216208648	-0.215680479	-0.281694061	-0.233341388	-0.248126746	-0.162194287	-0.164822931	-0.124562977	0
30	-2	-0.147886503	-0.153668303	-0.132480507	-0.173981587	-0.141426136	-0.162982855	-0.130446899	-0.132190875	-0.104832102	0
30	0	-0.105883666	-0.110689411	-0.085272816	-0.104609755	-0.089351588	-0.108631836	-0.108080073	-0.108684455	-0.088622299	0
30	2	-0.077523994	-0.08106793	-0.054254584	-0.058427103	-0.055058212	-0.068901368	-0.092696203	-0.093423132	-0.072817856	0
30	4	-0.058235957	-0.060210113	-0.034249894	-0.025819549	-0.033694647	-0.036293835	-0.071347881	-0.071826331	-0.052519844	0
30	6	-0.044325154	-0.045212178	-0.022679172	-0.009250382	-0.011385296	-0.016878932	-0.058157642	-0.058476329	-0.039310795	0
